2022001 ('85', 'A')
2022214 ('56', 'C')
2022215 ('32', 'F')
2022216 ('36', 'F')
2022217 ('27', 'F')
2022218 ('62', 'C')
2022219 ('58', 'C')
2022220 ('61', 'C')
2022221 ('65', 'B')
2022222 ('44', 'D')
2022223 ('25', 'F')
2022224 ('63', 'C')
2022225 ('47', 'D')
2022226 ('69', 'B')
2022227 ('53', 'C')
2022228 ('38', 'F')
2022229 ('52', 'C')
2022230 ('42', 'D')
2022231 ('83', 'A')
2022232 ('73', 'B')
2022233 ('55', 'C')
2022234 ('54', 'C')
2022235 ('75', 'B')
2022236 ('70', 'B')
2022237 ('81', 'A')
2022238 ('46', 'D')
2022239 ('41', 'D')
2022240 ('39', 'F')
2022241 ('62', 'C')
2022242 ('45', 'D')
2022243 ('20', 'F')
2022244 ('57', 'C')
2022245 ('40', 'D')
2022246 ('71', 'B')
2022247 ('59', 'C')
2022248 ('50', 'C')
2022249 ('64', 'C')
2022250 ('53', 'C')
2022251 ('45', 'D')
2022252 ('39', 'F')
2022253 ('66', 'B')
2022254 ('68', 'B')
2022255 ('66', 'B')
2022256 ('71', 'B')
2022257 ('64', 'C')
2022258 ('42', 'D')
2022259 ('45', 'D')
2022260 ('47', 'D')
2022261 ('55', 'C')
2022262 ('41', 'D')
2022263 ('53', 'C')
2022264 ('49', 'D')
2022265 ('63', 'C')
2022266 ('66', 'B')
2022267 ('36', 'F')
2022268 ('47', 'D')
2022269 ('32', 'F')
2022270 ('48', 'D')
2022271 ('51', 'C')
2022272 ('61', 'C')
2022273 ('51', 'C')
2022274 ('55', 'C')
2022275 ('71', 'B')
2022276 ('31', 'F')
2022277 ('34', 'F')
2022278 ('66', 'B')
2022279 ('56', 'C')
2022280 ('68', 'B')
2022281 ('52', 'C')
2022282 ('36', 'F')
2022283 ('48', 'D')
2022284 ('50', 'C')
2022285 ('64', 'C')
2022286 ('23', 'F')
2022287 ('71', 'B')
2022288 ('75', 'B')
2022289 ('61', 'C')
2022290 ('82', 'A')
2022291 ('48', 'D')
2022292 ('44', 'D')
2022293 ('34', 'F')
2022294 ('46', 'D')
2022295 ('50', 'C')
2022296 ('72', 'B')
2022297 ('50', 'C')
2022298 ('52', 'C')
2022299 ('33', 'F')
2022300 ('60', 'C')
2022301 ('49', 'D')
2022302 ('54', 'C')
2022303 ('43', 'D')
2022304 ('67', 'B')
2022305 ('48', 'D')
2022306 ('50', 'C')
2022307 ('50', 'C')
2022308 ('37', 'F')
2022309 ('68', 'B')
2022310 ('61', 'C')
2022311 ('54', 'C')
2022312 ('47', 'D')
2022313 ('62', 'C')
2022314 ('40', 'D')
2022315 ('55', 'C')
2022316 ('41', 'D')
2022317 ('21', 'F')
2022318 ('50', 'C')
2022319 ('53', 'C')
2022320 ('52', 'C')
2022321 ('60', 'C')
2022322 ('57', 'C')
2022323 ('27', 'F')
2022324 ('16', 'F')
2022325 ('73', 'B')
2022326 ('49', 'D')
2022327 ('42', 'D')
2022328 ('65', 'B')
2022329 ('35', 'F')
2022330 ('29', 'F')
2022331 ('48', 'D')
2022332 ('64', 'C')
2022333 ('60', 'C')
2022334 ('61', 'C')
2022335 ('30', 'F')
2022336 ('40', 'D')
2022337 ('32', 'F')
2022338 ('49', 'D')
2022339 ('52', 'C')
2022340 ('40', 'D')
2022341 ('57', 'C')
2022342 ('54', 'C')
2022343 ('79', 'B')
2022344 ('47', 'D')
2022345 ('46', 'D')
2022346 ('76', 'B')
2022347 ('31', 'F')
2022348 ('48', 'D')
2022349 ('42', 'D')
2022350 ('45', 'D')
2022351 ('46', 'D')
2022352 ('49', 'D')
2022353 ('37', 'F')
2022354 ('57', 'C')
2022355 ('56', 'C')
2022356 ('38', 'F')
2022357 ('45', 'D')
2022358 ('45', 'D')
2022359 ('64', 'C')
2022360 ('80', 'B')
2022361 ('54', 'C')
2022362 ('53', 'C')
2022363 ('84', 'A')
2022364 ('50', 'C')
2022365 ('72', 'B')
2022366 ('53', 'C')
2022367 ('38', 'F')
2022368 ('55', 'C')
2022369 ('49', 'D')
2022370 ('63', 'C')
2022371 ('56', 'C')
2022372 ('48', 'D')
2022373 ('77', 'B')
2022374 ('59', 'C')
2022375 ('78', 'B')
2022376 ('69', 'B')
2022377 ('81', 'A')
2022378 ('50', 'C')
2022379 ('57', 'C')
2022380 ('62', 'C')
2022381 ('51', 'C')
2022382 ('26', 'F')
2022383 ('37', 'F')
2022384 ('64', 'C')
2022385 ('48', 'D')
2022386 ('58', 'C')
2022387 ('36', 'F')
2022388 ('48', 'D')
2022389 ('55', 'C')
2022390 ('66', 'B')
2022391 ('20', 'F')
2022392 ('44', 'D')
2022393 ('66', 'B')
2022394 ('66', 'B')
2022395 ('44', 'D')
2022396 ('39', 'F')
2022397 ('68', 'B')
2022398 ('69', 'B')
2022399 ('74', 'B')
2022400 ('48', 'D')
2022401 ('54', 'C')
2022402 ('83', 'A')
2022403 ('49', 'D')
2022404 ('66', 'B')
2022405 ('80', 'B')
2022406 ('38', 'F')
2022407 ('64', 'C')
2022408 ('67', 'B')
2022409 ('29', 'F')
2022410 ('76', 'B')
2022411 ('64', 'C')
2022412 ('39', 'F')
2022413 ('76', 'B')
2022414 ('36', 'F')
2022415 ('26', 'F')
2022416 ('63', 'C')
2022417 ('71', 'B')
2022418 ('35', 'F')
2022419 ('32', 'F')
2022420 ('42', 'D')
2022421 ('57', 'C')
2022422 ('39', 'F')
2022423 ('65', 'B')
2022424 ('35', 'F')
2022425 ('46', 'D')
2022426 ('65', 'B')
2022427 ('62', 'C')
2022428 ('65', 'B')
2022429 ('44', 'D')
2022430 ('49', 'D')
2022431 ('39', 'F')
2022432 ('49', 'D')
2022433 ('35', 'F')
2022434 ('17', 'F')
2022435 ('52', 'C')
2022436 ('72', 'B')
2022437 ('35', 'F')
2022438 ('51', 'C')
2022439 ('54', 'C')
2022440 ('48', 'D')
2022441 ('54', 'C')
2022442 ('75', 'B')
2022443 ('63', 'C')
2022444 ('64', 'C')
2022445 ('49', 'D')
2022446 ('47', 'D')
2022447 ('51', 'C')
2022448 ('36', 'F')
2022449 ('53', 'C')
2022450 ('66', 'B')
2022451 ('36', 'F')
2022452 ('34', 'F')
2022453 ('53', 'C')
2022454 ('76', 'B')
2022455 ('64', 'C')
2022456 ('74', 'B')
2022457 ('20', 'F')
2022458 ('61', 'C')
2022459 ('52', 'C')
2022460 ('69', 'B')
2022461 ('67', 'B')
2022462 ('29', 'F')
2022463 ('39', 'F')
2022464 ('71', 'B')
2022465 ('32', 'F')
2022466 ('62', 'C')
2022467 ('41', 'D')
2022468 ('58', 'C')
2022469 ('44', 'D')
2022470 ('52', 'C')
2022471 ('43', 'D')
2022472 ('77', 'B')
2022473 ('67', 'B')
2022474 ('71', 'B')
2022475 ('49', 'D')
2022476 ('63', 'C')
2022477 ('48', 'D')
2022478 ('40', 'D')
2022479 ('65', 'B')
2022480 ('70', 'B')
2022481 ('36', 'F')
2022482 ('56', 'C')
2022483 ('46', 'D')
2022484 ('36', 'F')
2022485 ('50', 'C')
2022486 ('54', 'C')
2022487 ('41', 'D')
2022488 ('57', 'C')
2022489 ('61', 'C')
2022490 ('73', 'B')
2022491 ('57', 'C')
2022492 ('44', 'D')
2022493 ('54', 'C')
2022494 ('28', 'F')
2022495 ('42', 'D')
2022496 ('45', 'D')
2022497 ('39', 'F')
2022498 ('46', 'D')
2022499 ('59', 'C')
2022500 ('77', 'B')
2022501 ('43', 'D')
2022502 ('48', 'D')
2022503 ('38', 'F')
2022504 ('49', 'D')
2022505 ('58', 'C')
2022506 ('64', 'C')
2022507 ('49', 'D')
2022508 ('83', 'A')
2022509 ('56', 'C')
2022510 ('45', 'D')
2022511 ('83', 'A')
2022512 ('74', 'B')
2022513 ('48', 'D')
2022514 ('42', 'D')
2022515 ('56', 'C')
2022516 ('49', 'D')
2022517 ('43', 'D')
2022518 ('52', 'C')
2022519 ('58', 'C')
2022520 ('32', 'F')
2022521 ('41', 'D')
2022522 ('16', 'F')
2022523 ('49', 'D')
2022524 ('27', 'F')
2022525 ('54', 'C')
2022526 ('39', 'F')
2022527 ('38', 'F')
2022528 ('40', 'D')
2022529 ('34', 'F')
2022530 ('52', 'C')
2022531 ('74', 'B')
2022532 ('45', 'D')
2022533 ('53', 'C')
2022534 ('63', 'C')
2022535 ('53', 'C')
2022536 ('47', 'D')
2022537 ('51', 'C')
2022538 ('45', 'D')
2022539 ('25', 'F')
2022540 ('54', 'C')
2022541 ('64', 'C')
2022542 ('38', 'F')
2022543 ('60', 'C')
2022544 ('45', 'D')
2022545 ('61', 'C')
2022546 ('34', 'F')
2022547 ('47', 'D')
2022548 ('45', 'D')
2022549 ('72', 'B')
2022550 ('46', 'D')
2022551 ('79', 'B')
2022552 ('68', 'B')
2022553 ('53', 'C')
2022554 ('67', 'B')
2022555 ('44', 'D')
2022556 ('24', 'F')
2022557 ('81', 'A')
2022558 ('43', 'D')
2022559 ('68', 'B')
2022560 ('47', 'D')
2022561 ('41', 'D')
2022562 ('68', 'B')
2022563 ('87', 'A')
2022564 ('50', 'C')
2022565 ('21', 'F')
2022566 ('68', 'B')
2022567 ('44', 'D')
2022568 ('74', 'B')
2022569 ('38', 'F')
2022570 ('47', 'D')
2022571 ('52', 'C')
2022572 ('64', 'C')
2022573 ('33', 'F')
2022574 ('49', 'D')
2022575 ('45', 'D')
2022576 ('72', 'B')
2022577 ('54', 'C')
2022578 ('24', 'F')
2022579 ('43', 'D')
2022580 ('29', 'F')
2022581 ('48', 'D')
2022582 ('69', 'B')
2022583 ('59', 'C')
2022584 ('43', 'D')
2022585 ('48', 'D')
2022586 ('67', 'B')
2022587 ('43', 'D')
2022588 ('38', 'F')
2022589 ('32', 'F')
2022590 ('31', 'F')
2022591 ('41', 'D')
2022592 ('41', 'D')
2022593 ('32', 'F')
2022594 ('42', 'D')
2022595 ('76', 'B')
2022596 ('26', 'F')
2022597 ('68', 'B')
2022598 ('65', 'B')
2022599 ('59', 'C')
2022600 ('73', 'B')
2022601 ('37', 'F')
2022602 ('44', 'D')
2022603 ('53', 'C')
2022604 ('42', 'D')
2022605 ('61', 'C')
2022606 ('74', 'B')
2022607 ('72', 'B')
2022608 ('25', 'F')
2022609 ('29', 'F')
2022610 ('39', 'F')
2022611 ('67', 'B')
2022612 ('39', 'F')
2022613 ('59', 'C')
2022614 ('33', 'F')
2022615 ('58', 'C')
2022616 ('80', 'B')
2022617 ('51', 'C')
2022618 ('69', 'B')
2022619 ('66', 'B')
2022620 ('61', 'C')
2022621 ('41', 'D')
2022622 ('37', 'F')
2022623 ('64', 'C')
2022624 ('46', 'D')
2022625 ('63', 'C')
2022626 ('48', 'D')
2022627 ('69', 'B')
2022628 ('70', 'B')
2022629 ('65', 'B')
2022630 ('59', 'C')
2022631 ('54', 'C')
2022632 ('74', 'B')
2022633 ('56', 'C')
2022634 ('22', 'F')
2022635 ('28', 'F')
2022636 ('58', 'C')
2022637 ('40', 'D')
2022638 ('51', 'C')
2022639 ('72', 'B')
2022640 ('39', 'F')
2022641 ('58', 'C')
2022642 ('67', 'B')
2022643 ('42', 'D')
2022644 ('49', 'D')
2022645 ('58', 'C')
2022646 ('50', 'C')
2022647 ('45', 'D')
2022648 ('34', 'F')
2022649 ('68', 'B')
2022650 ('69', 'B')
2022651 ('51', 'C')
2022652 ('34', 'F')
2022653 ('62', 'C')
2022654 ('63', 'C')
2022655 ('56', 'C')
2022656 ('46', 'D')
2022657 ('56', 'C')
2022658 ('23', 'F')
2022659 ('67', 'B')
2022660 ('28', 'F')
2022661 ('24', 'F')
2022662 ('46', 'D')
2022663 ('50', 'C')
2022664 ('69', 'B')
2022665 ('69', 'B')
2022666 ('52', 'C')
2022667 ('44', 'D')
2022668 ('45', 'D')
2022669 ('70', 'B')
2022670 ('51', 'C')
2022671 ('49', 'D')
2022672 ('42', 'D')
2022673 ('50', 'C')
2022674 ('43', 'D')
2022675 ('56', 'C')
2022676 ('48', 'D')
2022677 ('28', 'F')
2022678 ('43', 'D')
2022679 ('26', 'F')
2022680 ('54', 'C')
2022681 ('53', 'C')
2022682 ('35', 'F')
2022683 ('30', 'F')
2022684 ('55', 'C')
2022685 ('63', 'C')
2022686 ('51', 'C')
2022687 ('52', 'C')
2022688 ('37', 'F')
2022689 ('75', 'B')
2022690 ('31', 'F')
2022691 ('62', 'C')
2022692 ('83', 'A')
2022693 ('26', 'F')
2022694 ('13', 'F')
2022695 ('57', 'C')
2022696 ('61', 'C')
2022697 ('53', 'C')
2022698 ('54', 'C')
2022699 ('85', 'A')
2022700 ('50', 'C')
2022701 ('66', 'B')
2022702 ('62', 'C')
2022703 ('61', 'C')
2022704 ('72', 'B')
2022705 ('63', 'C')
2022706 ('34', 'F')
2022707 ('53', 'C')
2022708 ('62', 'C')
2022709 ('46', 'D')
2022710 ('63', 'C')
2022711 ('70', 'B')
2022712 ('43', 'D')
2022713 ('39', 'F')
2022714 ('54', 'C')
2022715 ('54', 'C')
2022716 ('43', 'D')
2022717 ('40', 'D')
2022718 ('28', 'F')
2022719 ('55', 'C')
2022720 ('62', 'C')
2022721 ('47', 'D')
2022722 ('24', 'F')
2022723 ('62', 'C')
2022724 ('54', 'C')
2022725 ('36', 'F')
2022726 ('64', 'C')
2022727 ('72', 'B')
2022728 ('76', 'B')
2022729 ('18', 'F')
2022730 ('56', 'C')
2022731 ('53', 'C')
2022732 ('48', 'D')
2022733 ('58', 'C')
2022734 ('44', 'D')
2022735 ('65', 'B')
2022736 ('28', 'F')
2022737 ('49', 'D')
2022738 ('41', 'D')
2022739 ('54', 'C')
2022740 ('15', 'F')
2022741 ('22', 'F')
2022742 ('69', 'B')
2022743 ('37', 'F')
2022744 ('36', 'F')
2022745 ('58', 'C')
2022746 ('42', 'D')
2022747 ('43', 'D')
2022748 ('48', 'D')
2022749 ('62', 'C')
2022750 ('29', 'F')
2022751 ('73', 'B')
2022752 ('55', 'C')
2022753 ('78', 'B')
2022754 ('52', 'C')
2022755 ('44', 'D')
2022756 ('77', 'B')
2022757 ('67', 'B')
2022758 ('52', 'C')
2022759 ('38', 'F')
2022760 ('34', 'F')
2022761 ('56', 'C')
2022762 ('77', 'B')
2022763 ('56', 'C')
2022764 ('44', 'D')
2022765 ('42', 'D')
2022766 ('40', 'D')
2022767 ('77', 'B')
2022768 ('46', 'D')
2022769 ('38', 'F')
2022770 ('83', 'A')
2022771 ('53', 'C')
2022772 ('38', 'F')
2022773 ('10', 'F')
2022774 ('45', 'D')
2022775 ('30', 'F')
2022776 ('64', 'C')
2022777 ('46', 'D')
2022778 ('75', 'B')
2022779 ('57', 'C')
2022780 ('44', 'D')
2022781 ('38', 'F')
2022782 ('59', 'C')
2022783 ('32', 'F')
2022784 ('44', 'D')
2022785 ('84', 'A')
2022786 ('79', 'B')
2022787 ('49', 'D')
2022788 ('53', 'C')
2022789 ('36', 'F')
2022790 ('66', 'B')
2022791 ('77', 'B')
2022792 ('20', 'F')
2022793 ('60', 'C')
2022794 ('57', 'C')
2022795 ('47', 'D')
2022796 ('50', 'C')
2022797 ('56', 'C')
2022798 ('63', 'C')
2022799 ('57', 'C')
2022800 ('53', 'C')
2022801 ('62', 'C')
2022802 ('54', 'C')
2022803 ('55', 'C')
2022804 ('58', 'C')
2022805 ('37', 'F')
2022806 ('74', 'B')
2022807 ('44', 'D')
2022808 ('77', 'B')
2022809 ('50', 'C')
2022810 ('53', 'C')
2022811 ('50', 'C')
2022812 ('49', 'D')
2022813 ('85', 'A')
2022814 ('59', 'C')
2022815 ('67', 'B')
2022816 ('26', 'F')
2022817 ('69', 'B')
2022818 ('55', 'C')
2022819 ('54', 'C')
2022820 ('54', 'C')
2022821 ('40', 'D')
2022822 ('34', 'F')
2022823 ('87', 'A')
2022824 ('37', 'F')
2022825 ('44', 'D')
2022826 ('52', 'C')
2022827 ('59', 'C')
2022828 ('51', 'C')
2022829 ('67', 'B')
2022830 ('45', 'D')
2022831 ('47', 'D')
2022832 ('32', 'F')
2022833 ('36', 'F')
2022834 ('29', 'F')
2022835 ('36', 'F')
2022836 ('74', 'B')
2022837 ('59', 'C')
2022838 ('77', 'B')
2022839 ('49', 'D')
2022840 ('77', 'B')
2022841 ('24', 'F')
2022842 ('43', 'D')
2022843 ('51', 'C')
2022844 ('68', 'B')
2022845 ('64', 'C')
2022846 ('35', 'F')
2022847 ('57', 'C')
2022848 ('35', 'F')
2022849 ('41', 'D')
2022850 ('57', 'C')
2022851 ('71', 'B')
2022852 ('43', 'D')
2022853 ('89', 'A')
2022854 ('50', 'C')
2022855 ('76', 'B')
2022856 ('65', 'B')
2022857 ('40', 'D')
2022858 ('69', 'B')
2022859 ('61', 'C')
2022860 ('65', 'B')
2022861 ('65', 'B')
2022862 ('76', 'B')
2022863 ('58', 'C')
2022864 ('58', 'C')
2022865 ('49', 'D')
2022866 ('47', 'D')
2022867 ('41', 'D')
2022868 ('32', 'F')
2022869 ('46', 'D')
2022870 ('61', 'C')
2022871 ('58', 'C')
2022872 ('43', 'D')
2022873 ('35', 'F')
2022874 ('35', 'F')
2022875 ('28', 'F')
2022876 ('54', 'C')
2022877 ('60', 'C')
2022878 ('42', 'D')
2022879 ('35', 'F')
2022880 ('36', 'F')
2022881 ('44', 'D')
2022882 ('64', 'C')
2022883 ('56', 'C')
2022884 ('70', 'B')
2022885 ('60', 'C')
2022886 ('81', 'A')
2022887 ('53', 'C')
2022888 ('40', 'D')
2022889 ('62', 'C')
2022890 ('69', 'B')
2022891 ('48', 'D')
2022892 ('57', 'C')
2022893 ('55', 'C')
2022894 ('39', 'F')
2022895 ('52', 'C')
2022896 ('29', 'F')
2022897 ('55', 'C')
2022898 ('54', 'C')
2022899 ('36', 'F')
2022900 ('40', 'D')
2022901 ('61', 'C')
2022902 ('59', 'C')
2022903 ('59', 'C')
2022904 ('70', 'B')
2022905 ('27', 'F')
2022906 ('11', 'F')
2022907 ('59', 'C')
2022908 ('60', 'C')
2022909 ('78', 'B')
2022910 ('60', 'C')
2022911 ('60', 'C')
2022912 ('58', 'C')
2022913 ('53', 'C')
2022914 ('63', 'C')
2022915 ('40', 'D')
2022916 ('62', 'C')
2022917 ('35', 'F')
2022918 ('62', 'C')
2022919 ('31', 'F')
2022920 ('73', 'B')
2022921 ('40', 'D')
2022922 ('73', 'B')
2022923 ('51', 'C')
2022924 ('79', 'B')
2022925 ('49', 'D')
2022926 ('56', 'C')
2022927 ('57', 'C')
2022928 ('38', 'F')
2022929 ('44', 'D')
2022930 ('66', 'B')
2022931 ('49', 'D')
2022932 ('68', 'B')
2022933 ('31', 'F')
2022934 ('36', 'F')
2022935 ('49', 'D')
2022936 ('67', 'B')
2022937 ('31', 'F')
2022938 ('57', 'C')
2022939 ('16', 'F')
2022940 ('56', 'C')
2022941 ('63', 'C')
2022942 ('62', 'C')
2022943 ('57', 'C')
2022944 ('68', 'B')
2022945 ('43', 'D')
2022946 ('70', 'B')
2022947 ('52', 'C')
2022948 ('36', 'F')
2022949 ('50', 'C')
2022950 ('65', 'B')
2022951 ('59', 'C')
2022952 ('45', 'D')
2022953 ('49', 'D')
2022954 ('82', 'A')
2022955 ('75', 'B')
2022956 ('36', 'F')
2022957 ('48', 'D')
2022958 ('40', 'D')
2022959 ('74', 'B')
2022960 ('73', 'B')
2022961 ('60', 'C')
2022962 ('38', 'F')
2022963 ('15', 'F')
2022964 ('58', 'C')
2022965 ('37', 'F')
2022966 ('55', 'C')
2022967 ('49', 'D')
2022968 ('50', 'C')
2022969 ('61', 'C')
2022970 ('39', 'F')
2022971 ('36', 'F')
2022972 ('32', 'F')
2022973 ('38', 'F')
2022974 ('35', 'F')
2022975 ('58', 'C')
2022976 ('48', 'D')
2022977 ('71', 'B')
2022978 ('53', 'C')
2022979 ('67', 'B')
2022980 ('76', 'B')
2022981 ('72', 'B')
2022982 ('53', 'C')
2022983 ('42', 'D')
2022984 ('58', 'C')
2022985 ('37', 'F')
2022986 ('22', 'F')
2022987 ('70', 'B')
2022988 ('51', 'C')
2022989 ('49', 'D')
2022990 ('46', 'D')
2022991 ('34', 'F')
2022992 ('38', 'F')
2022993 ('39', 'F')
2022994 ('42', 'D')
2022995 ('37', 'F')
2022996 ('61', 'C')
